Source,D:/Documents/GitHub/Muse-V2.0/Hardware/museV2.sch
Kicad Rev,Eeschema 4.0.4-stable
Generated Date,10/14/2016 3:07:46 PM

Title,muse v2.0
Company,Not Set
Revision,0
Date Issue,Not Set
Comment,All Rights Reserved
Comment,Created by: Jason Merlo

Reference,Value,Library,Library Ref
U1,TPS65130,dc-dc,TPS65130
C8,10nF,museV2-cache,C-RESCUE-museV2
C9,4.7nF,museV2-cache,C-RESCUE-museV2
L2,4.7uH,device,L_Small
R4,1.3M,museV2-cache,R-RESCUE-museV2
C5,7.5pF,museV2-cache,C-RESCUE-museV2
R2,104.8k,museV2-cache,R-RESCUE-museV2
C4,220nF,museV2-cache,C-RESCUE-museV2
C7,100nF,museV2-cache,C-RESCUE-museV2
R5,100,museV2-cache,R-RESCUE-museV2
Q1,PMOS,device,Q_PMOS_DGS
C1,4.7uF,museV2-cache,C-RESCUE-museV2
D1,1A, 20V,device,D_Schottky_Small
R3,85.8k,museV2-cache,R-RESCUE-museV2
R1,975k,museV2-cache,R-RESCUE-museV2
C2,6.8pF,museV2-cache,C-RESCUE-museV2
C3,4.7uF,museV2-cache,C-RESCUE-museV2
C6,4.7uF,museV2-cache,C-RESCUE-museV2
C10,4.7uF,museV2-cache,C-RESCUE-museV2
L1,4.7uH,device,L_Small
D2,1A, 20V,device,D_Schottky_Small
R9,576,museV2-cache,R-RESCUE-museV2
D5,PWR_LED,museV2-cache,LED-RESCUE-museV2
Q2,BSS138,transistors,BSS138
R8,10K,museV2-cache,R-RESCUE-museV2
R10,10K,museV2-cache,R-RESCUE-museV2
SW1,PWR_BTN,device,SW_PUSH
R11,220,museV2-cache,R-RESCUE-museV2
U2,LP38692,museV2-cache,LP38692-RESCUE-museV2
C12,1uF,museV2-cache,C-RESCUE-museV2
C11,1uF,museV2-cache,C-RESCUE-museV2
J1,ATX24,atx24,ATX24
J2,ATX24,atx24,ATX24
R6,470,museV2-cache,R-RESCUE-museV2
R7,470,museV2-cache,R-RESCUE-museV2
D3,LED,museV2-cache,LED-RESCUE-museV2
D4,LED,museV2-cache,LED-RESCUE-museV2
U6,PLT133/T10W,museV2-cache,PLT133/T10W
U3,PLR135/T10,museV2-cache,PLR135/10
P4,3.5mm_Audio,conn,CONN_01X03
P3,3.5mm_Audio,conn,CONN_01X03
P2,RCA_Stero_Jack,muse-cache,RCA_Stero_Jack
P1,RCA_Stero_Jack,muse-cache,RCA_Stero_Jack
U4,POM-3535L-3-R,museV2-cache,POM-3535L-3-R
U5,POM-3535L-3-R,museV2-cache,POM-3535L-3-R
U7,POM-3535L-3-R,museV2-cache,POM-3535L-3-R
U8,POM-3535L-3-R,museV2-cache,POM-3535L-3-R
C14,0.1uF,museV2-cache,C-RESCUE-museV2
C13,0.1uF,museV2-cache,C-RESCUE-museV2
C20,27pF,museV2-cache,C-RESCUE-museV2
R12,680,museV2-cache,R-RESCUE-museV2
C24,4700pF,museV2-cache,C-RESCUE-museV2
C23,.068uF,museV2-cache,C-RESCUE-museV2
C22,10uF,museV2-cache,C-RESCUE-museV2
C21,0.1uF,museV2-cache,C-RESCUE-museV2
U9,PCM9211,museV2-cache,PCM9211
R13,100K,museV2-cache,R-RESCUE-museV2
R16,100K,museV2-cache,R-RESCUE-museV2
C26,10uF,museV2-cache,C-RESCUE-museV2
C27,10uF,museV2-cache,C-RESCUE-museV2
R15,100K,museV2-cache,R-RESCUE-museV2
R14,100K,museV2-cache,R-RESCUE-museV2
C29,10uF,museV2-cache,C-RESCUE-museV2
C28,10uF,museV2-cache,C-RESCUE-museV2
C25,27pF,museV2-cache,C-RESCUE-museV2
C35,1uF,museV2-cache,C-RESCUE-museV2
C30,10uF,museV2-cache,C-RESCUE-museV2
C31,10uF,museV2-cache,C-RESCUE-museV2
C33,10uF,museV2-cache,C-RESCUE-museV2
C32,10uF,museV2-cache,C-RESCUE-museV2
R17,100K,museV2-cache,R-RESCUE-museV2
R20,100K,museV2-cache,R-RESCUE-museV2
R19,100K,museV2-cache,R-RESCUE-museV2
R18,100K,museV2-cache,R-RESCUE-museV2
U10,PCM1863,museV2-cache,PCM1863
C34,0.1uF,museV2-cache,C-RESCUE-museV2
R24,2.2K,museV2-cache,R-RESCUE-museV2
R23,2.2K,museV2-cache,R-RESCUE-museV2
R22,2.2K,museV2-cache,R-RESCUE-museV2
R21,2.2K,museV2-cache,R-RESCUE-museV2
X1,24.576 MHz,device,CRYSTAL_SMD
C41,0.1uF,museV2-cache,C-RESCUE-museV2
C40,1uF,museV2-cache,C-RESCUE-museV2
C39,0.1uF,museV2-cache,C-RESCUE-museV2
C36,10uF,museV2-cache,C-RESCUE-museV2
C38,10uF,museV2-cache,C-RESCUE-museV2
C37,0.1uF,museV2-cache,C-RESCUE-museV2
C19,0.1uF,museV2-cache,C-RESCUE-museV2
C18,0.1uF,museV2-cache,C-RESCUE-museV2
C15,10uF,museV2-cache,C-RESCUE-museV2
C17,10uF,museV2-cache,C-RESCUE-museV2
C16,0.1uF,museV2-cache,C-RESCUE-museV2
C48,0.1uF,museV2-cache,C-RESCUE-museV2
C47,10uF,museV2-cache,C-RESCUE-museV2
C46,10uF,museV2-cache,C-RESCUE-museV2
C45,0.1uF,museV2-cache,C-RESCUE-museV2
C44,10uF,museV2-cache,C-RESCUE-museV2
C43,0.1uF,museV2-cache,C-RESCUE-museV2
C42,10uF,museV2-cache,C-RESCUE-museV2
U11,PCM1796,museV2-cache,PCM1796
R25,10K,museV2-cache,R-RESCUE-museV2
C49,47uF,museV2-cache,C-RESCUE-museV2
C50,2700pF,museV2-cache,C-RESCUE-museV2
R26,820,museV2-cache,R-RESCUE-museV2
C57,22pF,museV2-cache,C-RESCUE-museV2
C60,2700pF,museV2-cache,C-RESCUE-museV2
R33,820,museV2-cache,R-RESCUE-museV2
R31,220,museV2-cache,R-RESCUE-museV2
R28,220,museV2-cache,R-RESCUE-museV2
C61,27000pF,museV2-cache,C-RESCUE-museV2
R29,180,museV2-cache,R-RESCUE-museV2
R32,180,museV2-cache,R-RESCUE-museV2
R34,200,museV2-cache,R-RESCUE-museV2
R27,200,museV2-cache,R-RESCUE-museV2
C59,8200pF,museV2-cache,C-RESCUE-museV2
C63,8200pF,museV2-cache,C-RESCUE-museV2
U12,NE5534,museV2-cache,NE5534
C62,22pF,museV2-cache,C-RESCUE-museV2
U14,NE5534,museV2-cache,NE5534
U13,NE5534,museV2-cache,NE5534
C58,22pF,museV2-cache,C-RESCUE-museV2
R30,100,museV2-cache,R-RESCUE-museV2
C51,0.1uF,museV2-cache,C-RESCUE-museV2
C52,0.1uF,museV2-cache,C-RESCUE-museV2
C53,0.1uF,museV2-cache,C-RESCUE-museV2
C54,0.1uF,museV2-cache,C-RESCUE-museV2
C55,0.1uF,museV2-cache,C-RESCUE-museV2
C56,0.1uF,museV2-cache,C-RESCUE-museV2
C64,2700pF,museV2-cache,C-RESCUE-museV2
R35,820,museV2-cache,R-RESCUE-museV2
C71,22pF,museV2-cache,C-RESCUE-museV2
C74,2700pF,museV2-cache,C-RESCUE-museV2
R42,820,museV2-cache,R-RESCUE-museV2
R40,220,museV2-cache,R-RESCUE-museV2
R37,220,museV2-cache,R-RESCUE-museV2
C75,27000pF,museV2-cache,C-RESCUE-museV2
R38,180,museV2-cache,R-RESCUE-museV2
R41,180,museV2-cache,R-RESCUE-museV2
R43,200,museV2-cache,R-RESCUE-museV2
R36,200,museV2-cache,R-RESCUE-museV2
C73,8200pF,museV2-cache,C-RESCUE-museV2
C77,8200pF,museV2-cache,C-RESCUE-museV2
U15,NE5534,museV2-cache,NE5534
C76,22pF,museV2-cache,C-RESCUE-museV2
U17,NE5534,museV2-cache,NE5534
U16,NE5534,museV2-cache,NE5534
C72,22pF,museV2-cache,C-RESCUE-museV2
R39,100,museV2-cache,R-RESCUE-museV2
C65,0.1uF,museV2-cache,C-RESCUE-museV2
C66,0.1uF,museV2-cache,C-RESCUE-museV2
C67,0.1uF,museV2-cache,C-RESCUE-museV2
C68,0.1uF,museV2-cache,C-RESCUE-museV2
C69,0.1uF,museV2-cache,C-RESCUE-museV2
C70,0.1uF,museV2-cache,C-RESCUE-museV2
U18,EdisonConnector,IntelEdisonBlockTemplate-cache,EdisonConnector
P5,CONN_01X06,conn,CONN_01X06
R44,200K,museV2-cache,R-RESCUE-museV2
C78,0.1uF,museV2-cache,C-RESCUE-museV2
R54,2.2K,museV2-cache,R-RESCUE-museV2
U19,GTL2010,museV2-cache,GTL2010
R53,2.2K,museV2-cache,R-RESCUE-museV2
R52,2.2K,museV2-cache,R-RESCUE-museV2
R51,2.2K,museV2-cache,R-RESCUE-museV2
R50,4.7K,museV2-cache,R-RESCUE-museV2
R49,4.7K,museV2-cache,R-RESCUE-museV2
R48,4.7K,museV2-cache,R-RESCUE-museV2
R47,4.7K,museV2-cache,R-RESCUE-museV2
R46,4.7K,museV2-cache,R-RESCUE-museV2
R45,4.7K,museV2-cache,R-RESCUE-museV2
R55,4.7K,museV2-cache,R-RESCUE-museV2
R56,4.7K,museV2-cache,R-RESCUE-museV2
R57,4.7K,museV2-cache,R-RESCUE-museV2
R58,4.7K,museV2-cache,R-RESCUE-museV2
R59,4.7K,museV2-cache,R-RESCUE-museV2
R60,4.7K,museV2-cache,R-RESCUE-museV2
R61,2.2K,museV2-cache,R-RESCUE-museV2
R62,2.2K,museV2-cache,R-RESCUE-museV2
R63,2.2K,museV2-cache,R-RESCUE-museV2
R64,2.2K,museV2-cache,R-RESCUE-museV2
R65,200K,museV2-cache,R-RESCUE-museV2
C79,0.1uF,museV2-cache,C-RESCUE-museV2
R75,4.7K,museV2-cache,R-RESCUE-museV2
U20,GTL2010,museV2-cache,GTL2010
R74,4.7K,museV2-cache,R-RESCUE-museV2
R73,4.7K,museV2-cache,R-RESCUE-museV2
R72,4.7K,museV2-cache,R-RESCUE-museV2
R71,4.7K,museV2-cache,R-RESCUE-museV2
R70,4.7K,museV2-cache,R-RESCUE-museV2
R69,4.7K,museV2-cache,R-RESCUE-museV2
R68,4.7K,museV2-cache,R-RESCUE-museV2
R67,4.7K,museV2-cache,R-RESCUE-museV2
R66,4.7K,museV2-cache,R-RESCUE-museV2
R76,4.7K,museV2-cache,R-RESCUE-museV2
R77,4.7K,museV2-cache,R-RESCUE-museV2
R78,4.7K,museV2-cache,R-RESCUE-museV2
R79,4.7K,museV2-cache,R-RESCUE-museV2
R80,4.7K,museV2-cache,R-RESCUE-museV2
R81,4.7K,museV2-cache,R-RESCUE-museV2
R82,4.7K,museV2-cache,R-RESCUE-museV2
R83,4.7K,museV2-cache,R-RESCUE-museV2
R84,4.7K,museV2-cache,R-RESCUE-museV2
R85,4.7K,museV2-cache,R-RESCUE-museV2
U21,GTL2010,museV2-cache,GTL2010
R86,200K,museV2-cache,R-RESCUE-museV2
C80,0.1uF,museV2-cache,C-RESCUE-museV2
